treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_thioacetamide_High_9hr_Single	thioacetamide	9 hr	High	Single	Change..eosinophilic
Liver_thioacetamide_Middle_15day_Repeat	thioacetamide	15 day	Middle	Repeat	Hypertrophy
Liver_thioacetamide_Middle_15day_Repeat	thioacetamide	15 day	Middle	Repeat	Alteration..nuclear
Liver_thioacetamide_Middle_15day_Repeat	thioacetamide	15 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_Middle_24hr_Single	thioacetamide	24 hr	Middle	Single	Change..eosinophilic
Liver_thioacetamide_Middle_29day_Repeat	thioacetamide	29 day	Middle	Repeat	Hypertrophy
Liver_thioacetamide_Middle_29day_Repeat	thioacetamide	29 day	Middle	Repeat	Alteration..nuclear
Liver_thioacetamide_Middle_29day_Repeat	thioacetamide	29 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_Middle_4day_Repeat	thioacetamide	4 day	Middle	Repeat	Hypertrophy
Liver_thioacetamide_Middle_4day_Repeat	thioacetamide	4 day	Middle	Repeat	Change..eosinophilic
Liver_thioacetamide_Middle_6hr_Single	thioacetamide	6 hr	Middle	Single	Single.cell.necrosis
Liver_thioacetamide_Middle_6hr_Single	thioacetamide	6 hr	Middle	Single	Atypia..nuclear
Liver_thioacetamide_Middle_8day_Repeat	thioacetamide	8 day	Middle	Repeat	Single.cell.necrosis
Liver_thioacetamide_Middle_8day_Repeat	thioacetamide	8 day	Middle	Repeat	Hypertrophy
Liver_thioacetamide_Middle_8day_Repeat	thioacetamide	8 day	Middle	Repeat	Cellular.infiltration
Liver_thioacetamide_Middle_8day_Repeat	thioacetamide	8 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_thioacetamide_Middle_9hr_Single	thioacetamide	9 hr	Middle	Single	Single.cell.necrosis
Liver_thioacetamide_Middle_9hr_Single	thioacetamide	9 hr	Middle	Single	Cellular.infiltration
Liver_ticlopidine_High_15day_Repeat	ticlopidine	15 day	High	Repeat	Hypertrophy
Liver_ticlopidine_High_29day_Repeat	ticlopidine	29 day	High	Repeat	Hypertrophy
Liver_ticlopidine_High_4day_Repeat	ticlopidine	4 day	High	Repeat	Hypertrophy
Liver_ticlopidine_High_8day_Repeat	ticlopidine	8 day	High	Repeat	Hypertrophy
Liver_ticlopidine_Low_29day_Repeat	ticlopidine	29 day	Low	Repeat	Hypertrophy
Liver_ticlopidine_Middle_15day_Repeat	ticlopidine	15 day	Middle	Repeat	Hypertrophy
Liver_ticlopidine_Middle_29day_Repeat	ticlopidine	29 day	Middle	Repeat	Hypertrophy
Liver_ticlopidine_Middle_4day_Repeat	ticlopidine	4 day	Middle	Repeat	Hypertrophy
Liver_ticlopidine_Middle_8day_Repeat	ticlopidine	8 day	Middle	Repeat	Hypertrophy
Liver_tolbutamide_High_15day_Repeat	tolbutamide	15 day	High	Repeat	Hypertrophy
Liver_tolbutamide_High_29day_Repeat	tolbutamide	29 day	High	Repeat	Hypertrophy
Liver_trimethadione_High_15day_Repeat	trimethadione	15 day	High	Repeat	Hypertrophy
Liver_trimethadione_High_29day_Repeat	trimethadione	29 day	High	Repeat	Hypertrophy
Liver_trimethadione_High_8day_Repeat	trimethadione	8 day	High	Repeat	Hypertrophy
Liver_tunicamycin_High_24hr_Single	tunicamycin	24 hr	High	Single	Single.cell.necrosis
Liver_tunicamycin_High_6hr_Single	tunicamycin	6 hr	High	Single	Single.cell.necrosis
Liver_tunicamycin_High_9hr_Single	tunicamycin	9 hr	High	Single	Single.cell.necrosis
Liver_vitamin_A_High_15day_Repeat	vitamin_A	15 day	High	Repeat	Hypertrophy
Liver_vitamin_A_High_15day_Repeat	vitamin_A	15 day	High	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_High_29day_Repeat	vitamin_A	29 day	High	Repeat	Hypertrophy
Liver_vitamin_A_High_29day_Repeat	vitamin_A	29 day	High	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_High_4day_Repeat	vitamin_A	4 day	High	Repeat	Hypertrophy
Liver_vitamin_A_High_4day_Repeat	vitamin_A	4 day	High	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_High_8day_Repeat	vitamin_A	8 day	High	Repeat	Hypertrophy
Liver_vitamin_A_High_8day_Repeat	vitamin_A	8 day	High	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_Low_15day_Repeat	vitamin_A	15 day	Low	Repeat	Hypertrophy
Liver_vitamin_A_Low_15day_Repeat	vitamin_A	15 day	Low	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_Low_29day_Repeat	vitamin_A	29 day	Low	Repeat	Hypertrophy
Liver_vitamin_A_Low_29day_Repeat	vitamin_A	29 day	Low	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_Middle_15day_Repeat	vitamin_A	15 day	Middle	Repeat	Hypertrophy
Liver_vitamin_A_Middle_15day_Repeat	vitamin_A	15 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_Middle_29day_Repeat	vitamin_A	29 day	Middle	Repeat	Hypertrophy
Liver_vitamin_A_Middle_29day_Repeat	vitamin_A	29 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_vitamin_A_Middle_8day_Repeat	vitamin_A	8 day	Middle	Repeat	Hypertrophy
Liver_vitamin_A_Middle_8day_Repeat	vitamin_A	8 day	Middle	Repeat	Vacuolization..cytoplasmic
Liver_WY14643_High_15day_Repeat	WY-14643	15 day	High	Repeat	Hypertrophy
Liver_WY14643_High_15day_Repeat	WY-14643	15 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_High_24hr_Single	WY-14643	24 hr	High	Single	Increased.mitosis
Liver_WY14643_High_24hr_Single	WY-14643	24 hr	High	Single	Degeneration..granular..eosinophilic
Liver_WY14643_High_29day_Repeat	WY-14643	29 day	High	Repeat	Hypertrophy
Liver_WY14643_High_29day_Repeat	WY-14643	29 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_High_4day_Repeat	WY-14643	4 day	High	Repeat	Increased.mitosis
Liver_WY14643_High_4day_Repeat	WY-14643	4 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_High_6hr_Single	WY-14643	6 hr	High	Single	Degeneration..granular..eosinophilic
Liver_WY14643_High_8day_Repeat	WY-14643	8 day	High	Repeat	Increased.mitosis
Liver_WY14643_High_8day_Repeat	WY-14643	8 day	High	Repeat	Hypertrophy
Liver_WY14643_High_8day_Repeat	WY-14643	8 day	High	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_High_9hr_Single	WY-14643	9 hr	High	Single	Degeneration..granular..eosinophilic
Liver_WY14643_Low_15day_Repeat	WY-14643	15 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Low_24hr_Single	WY-14643	24 hr	Low	Single	Increased.mitosis
Liver_WY14643_Low_24hr_Single	WY-14643	24 hr	Low	Single	Degeneration..granular..eosinophilic
Liver_WY14643_Low_29day_Repeat	WY-14643	29 day	Low	Repeat	Hypertrophy
Liver_WY14643_Low_29day_Repeat	WY-14643	29 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Low_4day_Repeat	WY-14643	4 day	Low	Repeat	Increased.mitosis
Liver_WY14643_Low_4day_Repeat	WY-14643	4 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Low_8day_Repeat	WY-14643	8 day	Low	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Low_9hr_Single	WY-14643	9 hr	Low	Single	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_15day_Repeat	WY-14643	15 day	Middle	Repeat	Hypertrophy
Liver_WY14643_Middle_15day_Repeat	WY-14643	15 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_24hr_Single	WY-14643	24 hr	Middle	Single	Increased.mitosis
Liver_WY14643_Middle_24hr_Single	WY-14643	24 hr	Middle	Single	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_29day_Repeat	WY-14643	29 day	Middle	Repeat	Hypertrophy
Liver_WY14643_Middle_29day_Repeat	WY-14643	29 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_4day_Repeat	WY-14643	4 day	Middle	Repeat	Increased.mitosis
Liver_WY14643_Middle_4day_Repeat	WY-14643	4 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_6hr_Single	WY-14643	6 hr	Middle	Single	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_8day_Repeat	WY-14643	8 day	Middle	Repeat	Hypertrophy
Liver_WY14643_Middle_8day_Repeat	WY-14643	8 day	Middle	Repeat	Degeneration..granular..eosinophilic
Liver_WY14643_Middle_9hr_Single	WY-14643	9 hr	Middle	Single	Degeneration..granular..eosinophilic
